# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2013
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   5  ,  University of Cambridge  , UK    
   401-500  ,  University of Hannover  , Germany    
   401-500  ,  University of Zaragoza  , Spain    
   401-500  ,  University of the Basque Country  , Spain    
   401-500  ,  Mines ParisTech  , France    
   401-500  ,  University of Rennes I  , France    
   401-500  ,  University of Zagreb  , Croatia    
   401-500  ,  University of Szeged  , Hungary    
   401-500  ,  University of Haifa  , Israel    
   401-500  ,  Catholic University of the Sacred Heart  , Italy    
   401-500  ,  Polytechnic University of Turin  , Italy    
   401-500  ,  University of Ferrara  , Italy    
   401-500  ,  University of Milan - Bicocca  , Italy    
   401-500  ,  University of Palermo  , Italy    
   401-500  ,  University of Pavia  , Italy    
   401-500  ,  University of Rome - Tor Vergata  , Italy    
   401-500  ,  University of Tromso  , Norway    
   401-500  ,  Technical University of Lisbon  , Portugal    
   401-500  ,  University of Coimbra  , Portugal    
   401-500  ,  Stockholm School of Economics  , Sweden    
   401-500  ,  University of Ljubljana  , Slovenia    
   401-500  ,  Istanbul University  , Turkey    
   401-500  ,  London School of Hygiene & Tropical Medicine  , UK    
   401-500  ,  Open University  , UK    
   401-500  ,  University of Essex  , UK    
   401-500  ,  University of Surrey  , UK    
   401-500  ,  University of Jyvaskyla  , Finland    
   401-500  ,  University of Eastern Finland  , Finland    
