# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2016
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   4  ,  University of Cambridge  , UK    
   101-150  ,  University of Strasbourg  , France    
   101-150  ,  Aix-Marseille University  , France    
   151-200  ,  University of Innsbruck  , Austria    
   151-200  ,  University of Vienna  , Austria    
   151-200  ,  Catholic University of Louvain  , Belgium    
   151-200  ,  Université Libre de Bruxelles  , Belgium    
   151-200  ,  University of Würzburg  , Germany    
   151-200  ,  University of Kiel  , Germany    
   151-200  ,  University of Tübingen  , Germany    
   151-200  ,  University of Erlangen-Nürnberg  , Germany    
   151-200  ,  Technical University of Dresden  , Germany    
   151-200  ,  University of Leipzig  , Germany    
   151-200  ,  Technical University of Denmark  , Denmark    
   151-200  ,  University of Barcelona  , Spain    
   151-200  ,  University Joseph Fourier - Grenoble I  , France    
   151-200  ,  University René Descartes (Paris V)  , France    
   151-200  ,  Trinity College Dublin  , Ireland    
   151-200  ,  Tel Aviv University  , Israel    
   151-200  ,  University of Padua  , Italy    
   151-200  ,  University of Rome - La Sapienza  , Italy    
   151-200  ,  Delft University of Technology  , Netherlands    
   151-200  ,  University of Lisbon  , Portugal    
   151-200  ,  Göteborg University  , Sweden    
   151-200  ,  London School of Economics  , UK    
   151-200  ,  London School of Hygiene & Tropical Medicine  , UK    
   151-200  ,  Queen Mary - University of London  , UK    
   151-200  ,  University of Exeter  , UK    
   151-200  ,  University of Glasgow  , UK    
   151-200  ,  University of Warwick  , UK    
   151-200  ,  University of Bordeaux  , France    
   201-300  ,  Medical University of Vienna  , Austria    
   201-300  ,  University of Antwerp  , Belgium    
   201-300  ,  Vrije Universiteit Brussel  , Belgium    
   201-300  ,  University of Lausanne  , Switzerland    
   201-300  ,  Charles University Prague  , Czech Republic    
   201-300  ,  University of Mainz  , Germany    
   201-300  ,  University of Bochum  , Germany    
   201-300  ,  University of Hamburg  , Germany    
   201-300  ,  University of Cologne  , Germany    
   201-300  ,  University of Ulm  , Germany    
   201-300  ,  Aalborg University  , Denmark    
   201-300  ,  Autonomous University of Madrid  , Spain    
   201-300  ,  University of Granada  , Spain    
   201-300  ,  University Claude Bernard - Lyon I  , France    
   201-300  ,  University Paul Sabatier - Toulouse III  , France    
   201-300  ,  Polytechnic University of Milan  , Italy    
   201-300  ,  University of Bologna  , Italy    
   201-300  ,  University of Florence  , Italy    
   201-300  ,  University of Milan  , Italy    
   201-300  ,  University of Pisa  , Italy    
   201-300  ,  University of Turin  , Italy    
   201-300  ,  Eindhoven University of Technology  , Netherlands    
   201-300  ,  University of Maastricht  , Netherlands    
   201-300  ,  University of Bergen  , Norway    
   201-300  ,  Chalmers University of Technology  , Sweden    
   201-300  ,  KTH - Royal Institute of Technology  , Sweden    
   201-300  ,  Swedish University of Agricultural Sciences  , Sweden    
   201-300  ,  University of Aberdeen  , UK    
   201-300  ,  University of Dundee  , UK    
   201-300  ,  University of Durham  , UK    
   201-300  ,  University of East Anglia  , UK    
   201-300  ,  University of Leicester  , UK    
   201-300  ,  University of Sussex  , UK    
   201-300  ,  University of York  , UK    
   201-300  ,  University of Belgrade  , Serbia    
   201-300  ,  Karlsruhe Institute of Technology  , Germany    
   201-300  ,  RWTH Aachen University  , Germany    
   201-300  ,  University of Lorraine  , France    
   201-300  ,  Toulouse School of Economics  , France    
   301-400  ,  University of Liège  , Belgium    
   301-400  ,  University of Fribourg  , Switzerland    
   301-400  ,  University of Jena  , Germany    
   301-400  ,  University of Giessen  , Germany    
   301-400  ,  University of Halle-Wittenberg  , Germany    
   301-400  ,  Hannover Medical School  , Germany    
   301-400  ,  University of Marburg  , Germany    
   301-400  ,  Technical University of Berlin  , Germany    
   301-400  ,  University of Southern Denmark  , Denmark    
   301-400  ,  Complutense University of Madrid  , Spain    
   301-400  ,  Polytechnic University of Catalonia  , Spain    
   301-400  ,  Polytechnic University of Valencia  , Spain    
   301-400  ,  University of Santiago de Compostela  , Spain    
   301-400  ,  Autonomous University of Barcelona  , Spain    
   301-400  ,  University Pompeu Fabra  , Spain    
   301-400  ,  Ecole Normale Supérieure de Lyon  , France    
   301-400  ,  Ecole Polytechnique  , France    
   301-400  ,  Ecole Supérieure de Physique et de Chimie Industrielles  , France    
   301-400  ,  University Paris-Dauphine (Paris IX)  , France    
   301-400  ,  University of Athens  , Greece    
   301-400  ,  National University of Ireland - Galway  , Ireland    
   301-400  ,  University College Dublin  , Ireland    
   301-400  ,  University of Milan - Bicocca  , Italy    
   301-400  ,  University of Naples Federico II  , Italy    
   301-400  ,  University of Pavia  , Italy    
   301-400  ,  University of Twente  , Netherlands    
   301-400  ,  University of Porto  , Portugal    
   301-400  ,  St. Petersburg State University  , Russia    
   301-400  ,  Linkoping University  , Sweden    
   301-400  ,  Umea University  , Sweden    
   301-400  ,  Queen&rsquo;s University Belfast  , UK    
   301-400  ,  University of Bath  , UK    
   301-400  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   301-400  ,  University of Reading  , UK    
   301-400  ,  University of St. Andrews  , UK    
   301-400  ,  University of Eastern Finland  , Finland    
   301-400  ,  University of Montpellier  , France    
   401-500  ,  Medical University of Graz  , Austria    
   401-500  ,  Vienna University of Technology  , Austria    
   401-500  ,  University of Düsseldorf  , Germany    
   401-500  ,  Technical University of Darmstadt  , Germany    
   401-500  ,  University of Bayreuth  , Germany    
   401-500  ,  University of Bielefeld  , Germany    
   401-500  ,  University of Bremen  , Germany    
   401-500  ,  University of Hannover  , Germany    
   401-500  ,  University of Konstanz  , Germany    
   401-500  ,  University of Potsdam  , Germany    
   401-500  ,  University of Regensburg  , Germany    
   401-500  ,  University of Rostock  , Germany    
   401-500  ,  University of Stuttgart  , Germany    
   401-500  ,  University of Tartu  , Estonia    
   401-500  ,  University of Valencia  , Spain    
   401-500  ,  University of the Basque Country  , Spain    
   401-500  ,  University Rovira I Virgili Tarragona  , Spain    
   401-500  ,  University of Oulu  , Finland    
   401-500  ,  University of Turku  , Finland    
   401-500  ,  Mines ParisTech  , France    
   401-500  ,  University Paris-Sorbonne (Paris IV)  , France    
   401-500  ,  University of Nice-Sophia Antipolis  , France    
   401-500  ,  University of Versailles Saint-Quentin-en-Yvelines  , France    
   401-500  ,  Aristotle University of Thessaloniki  , Greece    
   401-500  ,  University of Zagreb  , Croatia    
   401-500  ,  Ben-Gurion University of the Negev  , Israel    
   401-500  ,  Scuola Normale Superiore di Pisa  , Italy    
   401-500  ,  University of Ferrara  , Italy    
   401-500  ,  University of Palermo  , Italy    
   401-500  ,  University of Parma  , Italy    
   401-500  ,  University of Perugia  , Italy    
   401-500  ,  University of Rome - Tor Vergata  , Italy    
   401-500  ,  University of Salerno  , Italy    
   401-500  ,  Jagiellonian University  , Poland    
   401-500  ,  University of Warsaw  , Poland    
   401-500  ,  University of Aveiro  , Portugal    
   401-500  ,  University of Coimbra  , Portugal    
   401-500  ,  University of Minho  , Portugal    
   401-500  ,  Novosibirsk State University  , Russia    
   401-500  ,  Stockholm School of Economics  , Sweden    
   401-500  ,  University of Ljubljana  , Slovenia    
   401-500  ,  Istanbul University  , Turkey    
   401-500  ,  Brunel University  , UK    
   401-500  ,  St George’s - University of London  , UK    
   401-500  ,  University of Surrey  , UK    
   401-500  ,  Bangor University  , UK    
   401-500  ,  Aalto University  , Finland    
   401-500  ,  Vita-Salute San Raffaele University  , Italy    
