# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2017
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   3  ,  University of Cambridge  , UK    
   201-300  ,  Karlsruhe Institute of Technology  , Germany    
   201-300  ,  RWTH Aachen University  , Germany    
   201-300  ,  University of Lorraine  , France    
   201-300  ,  University of Montpellier  , France    
   301-400  ,  University of Liège  , Belgium    
   301-400  ,  University of Düsseldorf  , Germany    
   301-400  ,  University of Halle-Wittenberg  , Germany    
   301-400  ,  Hannover Medical School  , Germany    
   301-400  ,  University of Stuttgart  , Germany    
   301-400  ,  University of Southern Denmark  , Denmark    
   301-400  ,  University of Tartu  , Estonia    
   301-400  ,  Autonomous University of Madrid  , Spain    
   301-400  ,  Complutense University of Madrid  , Spain    
   301-400  ,  University of Santiago de Compostela  , Spain    
   301-400  ,  Autonomous University of Barcelona  , Spain    
   301-400  ,  Ecole Supérieure de Physique et de Chimie Industrielles  , France    
   301-400  ,  University Paris-Dauphine (Paris IX)  , France    
   301-400  ,  Toulouse 1 University Capitole  , France    
   301-400  ,  University of Athens  , Greece    
   301-400  ,  National University of Ireland - Galway  , Ireland    
   301-400  ,  University College Dublin  , Ireland    
   301-400  ,  University of Florence  , Italy    
   301-400  ,  University of Milan - Bicocca  , Italy    
   301-400  ,  University of Naples Federico II  , Italy    
   301-400  ,  University of Pavia  , Italy    
   301-400  ,  University of Rome - Tor Vergata  , Italy    
   301-400  ,  Eindhoven University of Technology  , Netherlands    
   301-400  ,  University of Twente  , Netherlands    
   301-400  ,  University of Warsaw  , Poland    
   301-400  ,  University of Porto  , Portugal    
   301-400  ,  St. Petersburg State University  , Russia    
   301-400  ,  Umea University  , Sweden    
   301-400  ,  Queen&rsquo;s University Belfast  , UK    
   301-400  ,  University of East Anglia  , UK    
   301-400  ,  University of Lancaster  , UK    
   301-400  ,  University of Leicester  , UK    
   301-400  ,  University of St. Andrews  , UK    
   301-400  ,  University of Surrey  , UK    
   301-400  ,  University of Eastern Finland  , Finland    
   401-500  ,  Vienna University of Technology  , Austria    
   401-500  ,  University of Fribourg  , Switzerland    
   401-500  ,  University of Marburg  , Germany    
   401-500  ,  Technical University of Berlin  , Germany    
   401-500  ,  Technical University of Darmstadt  , Germany    
   401-500  ,  University of Bayreuth  , Germany    
   401-500  ,  University of Bielefeld  , Germany    
   401-500  ,  University of Bremen  , Germany    
   401-500  ,  University of Hannover  , Germany    
   401-500  ,  University of Konstanz  , Germany    
   401-500  ,  University of Potsdam  , Germany    
   401-500  ,  University of Regensburg  , Germany    
   401-500  ,  University of Rostock  , Germany    
   401-500  ,  Polytechnic University of Valencia  , Spain    
   401-500  ,  University of Valencia  , Spain    
   401-500  ,  University of the Basque Country  , Spain    
   401-500  ,  Jaume I University  , Spain    
   401-500  ,  University of Oulu  , Finland    
   401-500  ,  University of Turku  , Finland    
   401-500  ,  Mines ParisTech  , France    
   401-500  ,  Ecole Polytechnique  , France    
   401-500  ,  University of Nice-Sophia Antipolis  , France    
   401-500  ,  Aristotle University of Thessaloniki  , Greece    
   401-500  ,  National Technical University of Athens  , Greece    
   401-500  ,  Bar-Ilan University  , Israel    
   401-500  ,  Ben-Gurion University of the Negev  , Israel    
   401-500  ,  University of Iceland  , Iceland    
   401-500  ,  University of Ferrara  , Italy    
   401-500  ,  University of Palermo  , Italy    
   401-500  ,  University of Trieste  , Italy    
   401-500  ,  Jagiellonian University  , Poland    
   401-500  ,  University of Aveiro  , Portugal    
   401-500  ,  University of Coimbra  , Portugal    
   401-500  ,  University of Minho  , Portugal    
   401-500  ,  Novosibirsk State University  , Russia    
   401-500  ,  Stockholm School of Economics  , Sweden    
   401-500  ,  University of Ljubljana  , Slovenia    
   401-500  ,  Istanbul University  , Turkey    
   401-500  ,  Brunel University  , UK    
   401-500  ,  Heriot-Watt University  , UK    
   401-500  ,  St George’s - University of London  , UK    
   401-500  ,  Bangor University  , UK    
   401-500  ,  Aalto University  , Finland    
   401-500  ,  Vita-Salute San Raffaele University  , Italy    
   501-600  ,  Medical University of Graz  , Austria    
   501-600  ,  University of Graz  , Austria    
   501-600  ,  University of Oldenburg  , Germany    
   501-600  ,  University of Duisburg-Essen  , Germany    
   501-600  ,  University of Giessen  , Germany    
   501-600  ,  Technical University of Braunschweig  , Germany    
   501-600  ,  University of Hohenheim  , Germany    
   501-600  ,  University of Oviedo  , Spain    
   501-600  ,  University of Seville  , Spain    
   501-600  ,  University of Vigo  , Spain    
   501-600  ,  University of Zaragoza  , Spain    
   501-600  ,  University of the Balearic Islands  , Spain    
   501-600  ,  University of Versailles Saint-Quentin-en-Yvelines  , France    
   501-600  ,  University of Zagreb  , Croatia    
   501-600  ,  Eötvös Lorand University  , Hungary    
   501-600  ,  University of Szeged  , Hungary    
   501-600  ,  Catholic University of the Sacred Heart  , Italy    
   501-600  ,  International Higher School for Advanced Studies  , Italy    
   501-600  ,  Scuola Normale Superiore di Pisa  , Italy    
   501-600  ,  University of Bari  , Italy    
   501-600  ,  University of Genoa  , Italy    
   501-600  ,  University of Parma  , Italy    
   501-600  ,  University of Perugia  , Italy    
   501-600  ,  University of Trento  , Italy    
   501-600  ,  University of Udine  , Italy    
   501-600  ,  New University of Lisbon  , Portugal    
   501-600  ,  Moscow Institute of Physics and Technology  , Russia    
   501-600  ,  Erciyes University  , Turkey    
   501-600  ,  Hacettepe University  , Turkey    
   501-600  ,  University of Bath  , UK    
   501-600  ,  University of Essex  , UK    
   501-600  ,  University of Portsmouth  , UK    
   501-600  ,  University of Strathclyde  , UK    
   501-600  ,  Royal Holloway - University of London  , UK    
   501-600  ,  University of Jyvaskyla  , Finland    
   501-600  ,  Marche Polytechnic University  , Italy    
   601-700  ,  University of Linz  , Austria    
   601-700  ,  University of Neuchatel  , Switzerland    
   601-700  ,  University of Lugano  , Switzerland    
   601-700  ,  Czech Technical University of Prague  , Czech Republic    
   601-700  ,  Masaryk University  , Czech Republic    
   601-700  ,  Palacky University  , Czech Republic    
   601-700  ,  University of Greifswald  , Germany    
   601-700  ,  Saarland University  , Germany    
   601-700  ,  Copenhagen Business School  , Denmark    
   601-700  ,  University Miguel Hernández de Elche  , Spain    
   601-700  ,  Polytechnic University of Catalonia  , Spain    
   601-700  ,  Technical University of Madrid  , Spain    
   601-700  ,  University of Alcalá de Henares  , Spain    
   601-700  ,  University of La Laguna  , Spain    
   601-700  ,  University Rovira I Virgili Tarragona  , Spain    
   601-700  ,  University of Tampere  , Finland    
   601-700  ,  University of Rennes I  , France    
   601-700  ,  University of Auvergne  , France    
   601-700  ,  University College Cork  , Ireland    
   601-700  ,  University of Limerick  , Ireland    
   601-700  ,  University of Haifa  , Israel    
   601-700  ,  Polytechnic University of Turin  , Italy    
   601-700  ,  University of Aquila  , Italy    
   601-700  ,  University of Catania  , Italy    
   601-700  ,  University of Modena  , Italy    
   601-700  ,  University of Siena  , Italy    
   601-700  ,  University of Luxembourg  , Luxembourg    
   601-700  ,  Tilburg University  , Netherlands    
   601-700  ,  Norwegian University of Life Sciences  , Norway    
   601-700  ,  AGH University of Science and Technology  , Poland    
   601-700  ,  Babes-Bolyai University  , Romania    
   601-700  ,  Dokuz Eylul University  , Turkey    
   601-700  ,  Loughborough University  , UK    
   601-700  ,  Open University  , UK    
   601-700  ,  University of Kent at Canterbury  , UK    
   601-700  ,  Swansea University  , UK    
   701-800  ,  Medical University of Innsbruck  , Austria    
   701-800  ,  University of Paderborn  , Germany    
   701-800  ,  University of Castilla La Mancha  , Spain    
   701-800  ,  University of Córdoba  , Spain    
   701-800  ,  University of Murcia  , Spain    
   701-800  ,  University of Salamanca  , Spain    
   701-800  ,  Ecole Centrale de Lyon  , France    
   701-800  ,  University Paris-Sorbonne (Paris IV)  , France    
   701-800  ,  University of Burgundy  , France    
   701-800  ,  University of Nantes  , France    
   701-800  ,  University of Poitiers  , France    
   701-800  ,  University Lille I  , France    
   701-800  ,  Budapest University of Technology and Economics  , Hungary    
   701-800  ,  Second University of Naples  , Italy    
   701-800  ,  University of Brescia  , Italy    
   701-800  ,  University of Cagliari  , Italy    
   701-800  ,  University of Calabria  , Italy    
   701-800  ,  University of Messina  , Italy    
   701-800  ,  University of Verona  , Italy    
   701-800  ,  Vilnius University  , Lithuania    
   701-800  ,  Adam Mickiewicz University in Poznan  , Poland    
   701-800  ,  University of Wroclaw  , Poland    
   701-800  ,  Comenius University in Bratislava  , Slovakia    
   701-800  ,  Ankara University  , Turkey    
   701-800  ,  Gazi University Ankara  , Turkey    
   701-800  ,  Middle East Technical University  , Turkey    
   701-800  ,  Keele University  , UK    
   701-800  ,  Liverpool John Moores University  , UK    
   701-800  ,  London Business School  , UK    
   701-800  ,  Technical University of Dortmund  , Germany    
   701-800  ,  CentraleSupélec  , France    
   701-800  ,  Medical University of Silesia  , Poland    
