# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2010
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   5  ,  University of Cambridge  , UK    
   101-150  ,  University of Münster  , Germany    
   101-150  ,  University Denis Diderot (Paris VII)  , France    
   101-150  ,  Technion - Israel Institute of Technology  , Israel    
   101-150  ,  Tel Aviv University  , Israel    
   101-150  ,  Weizmann Institute of Science  , Israel    
   101-150  ,  University of Milan  , Italy    
   101-150  ,  University of Pisa  , Italy    
   101-150  ,  University of Rome - La Sapienza  , Italy    
   101-150  ,  VU University Amsterdam  , Netherlands    
   101-150  ,  University of Amsterdam  , Netherlands    
   101-150  ,  University of Groningen  , Netherlands    
   101-150  ,  Wageningen University & Research Center  , Netherlands    
   101-150  ,  Lund University  , Sweden    
   101-150  ,  University of Leeds  , UK    
   101-150  ,  University of Liverpool  , UK    
   101-150  ,  University of Sussex  , UK    
   101-150  ,  University of Strasbourg  , France    
   151-200  ,  University of Vienna  , Austria    
   151-200  ,  University of Bern  , Switzerland    
   151-200  ,  University of Kiel  , Germany    
   151-200  ,  University of Mainz  , Germany    
   151-200  ,  University of Hamburg  , Germany    
   151-200  ,  University of Cologne  , Germany    
   151-200  ,  Technical University of Denmark  , Denmark    
   151-200  ,  University Joseph Fourier - Grenoble I  , France    
   151-200  ,  University René Descartes (Paris V)  , France    
   151-200  ,  University of Padua  , Italy    
   151-200  ,  Delft University of Technology  , Netherlands    
   151-200  ,  Erasmus University Rotterdam  , Netherlands    
   151-200  ,  Radboud University of Nijmegen  , Netherlands    
   151-200  ,  Cardiff University  , UK    
   151-200  ,  University of Durham  , UK    
   151-200  ,  University of Glasgow  , UK    
   151-200  ,  University of Southampton  , UK    
   151-200  ,  University of Warwick  , UK    
   201-300  ,  Medical University of Vienna  , Austria    
   201-300  ,  University of Innsbruck  , Austria    
   201-300  ,  University of Antwerp  , Belgium    
   201-300  ,  University of Liège  , Belgium    
   201-300  ,  University of Lausanne  , Switzerland    
   201-300  ,  Charles University Prague  , Czech Republic    
   201-300  ,  University of Erlangen-Nürnberg  , Germany    
   201-300  ,  University of Düsseldorf  , Germany    
   201-300  ,  University of Halle-Wittenberg  , Germany    
   201-300  ,  University of Marburg  , Germany    
   201-300  ,  University of Bochum  , Germany    
   201-300  ,  Technical University of Berlin  , Germany    
   201-300  ,  University of Leipzig  , Germany    
   201-300  ,  University of Stuttgart  , Germany    
   201-300  ,  Autonomous University of Madrid  , Spain    
   201-300  ,  Complutense University of Madrid  , Spain    
   201-300  ,  University of Valencia  , Spain    
   201-300  ,  University of Barcelona  , Spain    
   201-300  ,  Ecole Polytechnique  , France    
   201-300  ,  Ecole Supérieure de Physique et de Chimie Industrielles  , France    
   201-300  ,  University Claude Bernard - Lyon I  , France    
   201-300  ,  University Paul Sabatier - Toulouse III  , France    
   201-300  ,  University of Montpellier II  , France    
   201-300  ,  University of la Méditerranée - Aix-Marseille II  , France    
   201-300  ,  University of Athens  , Greece    
   201-300  ,  Trinity College Dublin  , Ireland    
   201-300  ,  Polytechnic University of Milan  , Italy    
   201-300  ,  University of Bologna  , Italy    
   201-300  ,  University of Florence  , Italy    
   201-300  ,  University of Turin  , Italy    
   201-300  ,  Norwegian University of Science and Technology  , Norway    
   201-300  ,  University of Bergen  , Norway    
   201-300  ,  Chalmers University of Technology  , Sweden    
   201-300  ,  Göteborg University  , Sweden    
   201-300  ,  KTH - Royal Institute of Technology  , Sweden    
   201-300  ,  Swedish University of Agricultural Sciences  , Sweden    
   201-300  ,  Umea University  , Sweden    
   201-300  ,  London School of Economics  , UK    
   201-300  ,  Queen Mary - University of London  , UK    
   201-300  ,  Queen&rsquo;s University Belfast  , UK    
   201-300  ,  University of Aberdeen  , UK    
   201-300  ,  University of East Anglia  , UK    
   201-300  ,  University of Lancaster  , UK    
   201-300  ,  University of Leicester  , UK    
   201-300  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   201-300  ,  University of Reading  , UK    
   201-300  ,  University of St. Andrews  , UK    
   201-300  ,  University of York  , UK    
   201-300  ,  RWTH Aachen University  , Germany    
   301-400  ,  Medical University of Graz  , Austria    
   301-400  ,  Medical University of Innsbruck  , Austria    
   301-400  ,  University of Graz  , Austria    
   301-400  ,  University of Jena  , Germany    
   301-400  ,  University of Duisburg-Essen  , Germany    
   301-400  ,  Technical University of Darmstadt  , Germany    
   301-400  ,  Technical University of Dresden  , Germany    
   301-400  ,  University of Bielefeld  , Germany    
   301-400  ,  University of Bremen  , Germany    
   301-400  ,  University of Fridericana Karlsruhe (Technische Hochschule)  , Germany    
   301-400  ,  University of Konstanz  , Germany    
   301-400  ,  University of Regensburg  , Germany    
   301-400  ,  University of Ulm  , Germany    
   301-400  ,  University of Southern Denmark  , Denmark    
   301-400  ,  Polytechnic University of Valencia  , Spain    
   301-400  ,  Autonomous University of Barcelona  , Spain    
   301-400  ,  University Pompeu Fabra  , Spain    
   301-400  ,  University of Oulu  , Finland    
   301-400  ,  University of Turku  , Finland    
   301-400  ,  University Bordeaux I - Sciences Technologie  , France    
   301-400  ,  University Henri Poincaré - Nancy I  , France    
   301-400  ,  University Paris-Dauphine (Paris IX)  , France    
   301-400  ,  University of Nice-Sophia Antipolis  , France    
   301-400  ,  University of Provence - Aix-Marseille I  , France    
   301-400  ,  Aristotle University of Thessaloniki  , Greece    
   301-400  ,  Eötvös Lorand University  , Hungary    
   301-400  ,  University of Szeged  , Hungary    
   301-400  ,  University College Dublin  , Ireland    
   301-400  ,  Bar-Ilan University  , Israel    
   301-400  ,  Ben-Gurion University of the Negev  , Israel    
   301-400  ,  Scuola Normale Superiore di Pisa  , Italy    
   301-400  ,  University of Genoa  , Italy    
   301-400  ,  University of Naples Federico II  , Italy    
   301-400  ,  University of Palermo  , Italy    
   301-400  ,  University of Rome - Tor Vergata  , Italy    
   301-400  ,  University of Maastricht  , Netherlands    
   301-400  ,  University of Twente  , Netherlands    
   301-400  ,  University of Tromso  , Norway    
   301-400  ,  Jagiellonian University  , Poland    
   301-400  ,  University of Warsaw  , Poland    
   301-400  ,  St. Petersburg State University  , Russia    
   301-400  ,  Stockholm School of Economics  , Sweden    
   301-400  ,  London School of Hygiene & Tropical Medicine  , UK    
   301-400  ,  Open University  , UK    
   301-400  ,  University of Bath  , UK    
   301-400  ,  University of Dundee  , UK    
   301-400  ,  University of Exeter  , UK    
   401-500  ,  Vienna University of Technology  , Austria    
   401-500  ,  Vrije Universiteit Brussel  , Belgium    
   401-500  ,  University of Greifswald  , Germany    
   401-500  ,  University of Giessen  , Germany    
   401-500  ,  Hannover Medical School  , Germany    
   401-500  ,  Technical University of Braunschweig  , Germany    
   401-500  ,  University of Bayreuth  , Germany    
   401-500  ,  University of Hannover  , Germany    
   401-500  ,  University of Granada  , Spain    
   401-500  ,  University of Santiago de Compostela  , Spain    
   401-500  ,  University of Zaragoza  , Spain    
   401-500  ,  Mines ParisTech  , France    
   401-500  ,  Ecole Normale Supérieure de Lyon  , France    
   401-500  ,  University of Rennes I  , France    
   401-500  ,  University of Versailles Saint-Quentin-en-Yvelines  , France    
   401-500  ,  University College Cork  , Ireland    
   401-500  ,  University of Haifa  , Israel    
   401-500  ,  Catholic University of the Sacred Heart  , Italy    
   401-500  ,  Polytechnic University of Turin  , Italy    
   401-500  ,  University of Bari  , Italy    
   401-500  ,  University of Ferrara  , Italy    
   401-500  ,  University of Milan - Bicocca  , Italy    
   401-500  ,  University of Parma  , Italy    
   401-500  ,  University of Pavia  , Italy    
   401-500  ,  University of Perugia  , Italy    
   401-500  ,  University of Siena  , Italy    
   401-500  ,  Eindhoven University of Technology  , Netherlands    
   401-500  ,  University of Lisbon  , Portugal    
   401-500  ,  University of Porto  , Portugal    
   401-500  ,  Linkoping University  , Sweden    
   401-500  ,  University of Ljubljana  , Slovenia    
   401-500  ,  Istanbul University  , Turkey    
   401-500  ,  Brunel University  , UK    
   401-500  ,  University of Essex  , UK    
   401-500  ,  University of Surrey  , UK    
   401-500  ,  Aalto University  , Finland    
   401-500  ,  University of Jyvaskyla  , Finland    
   401-500  ,  University of Eastern Finland  , Finland    
