# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2012
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   5  ,  University of Cambridge  , UK    
   101-150  ,  University Joseph Fourier - Grenoble I  , France    
   101-150  ,  Tel Aviv University  , Israel    
   101-150  ,  University of Pisa  , Italy    
   101-150  ,  VU University Amsterdam  , Netherlands    
   101-150  ,  Radboud University of Nijmegen  , Netherlands    
   101-150  ,  University of Amsterdam  , Netherlands    
   101-150  ,  University of Groningen  , Netherlands    
   101-150  ,  Wageningen University & Research Center  , Netherlands    
   101-150  ,  Lund University  , Sweden    
   101-150  ,  London School of Economics  , UK    
   101-150  ,  University of Birmingham  , UK    
   101-150  ,  University of Liverpool  , UK    
   101-150  ,  University of Sheffield  , UK    
   101-150  ,  University of Sussex  , UK    
   101-150  ,  University of Strasbourg  , France    
   101-150  ,  Aix-Marseille University  , France    
   151-200  ,  University of Vienna  , Austria    
   151-200  ,  Université Libre de Bruxelles  , Belgium    
   151-200  ,  University of Bern  , Switzerland    
   151-200  ,  University of Würzburg  , Germany    
   151-200  ,  University of Kiel  , Germany    
   151-200  ,  University of Tübingen  , Germany    
   151-200  ,  University of Mainz  , Germany    
   151-200  ,  University of Hamburg  , Germany    
   151-200  ,  University of Cologne  , Germany    
   151-200  ,  Technical University of Denmark  , Denmark    
   151-200  ,  University René Descartes (Paris V)  , France    
   151-200  ,  University of Milan  , Italy    
   151-200  ,  University of Padua  , Italy    
   151-200  ,  Erasmus University Rotterdam  , Netherlands    
   151-200  ,  Göteborg University  , Sweden    
   151-200  ,  Cardiff University  , UK    
   151-200  ,  University of Glasgow  , UK    
   151-200  ,  University of Leeds  , UK    
   151-200  ,  University of Southampton  , UK    
   151-200  ,  University of Warwick  , UK    
   201-300  ,  Medical University of Vienna  , Austria    
   201-300  ,  University of Innsbruck  , Austria    
   201-300  ,  University of Antwerp  , Belgium    
   201-300  ,  University of Liège  , Belgium    
   201-300  ,  University of Lausanne  , Switzerland    
   201-300  ,  Charles University Prague  , Czech Republic    
   201-300  ,  University of Erlangen-Nürnberg  , Germany    
   201-300  ,  University of Düsseldorf  , Germany    
   201-300  ,  University of Marburg  , Germany    
   201-300  ,  University of Bochum  , Germany    
   201-300  ,  Technical University of Berlin  , Germany    
   201-300  ,  Technical University of Dresden  , Germany    
   201-300  ,  University of Leipzig  , Germany    
   201-300  ,  University of Stuttgart  , Germany    
   201-300  ,  University of Southern Denmark  , Denmark    
   201-300  ,  Autonomous University of Madrid  , Spain    
   201-300  ,  Complutense University of Madrid  , Spain    
   201-300  ,  University of Barcelona  , Spain    
   201-300  ,  University Claude Bernard - Lyon I  , France    
   201-300  ,  University Paris-Dauphine (Paris IX)  , France    
   201-300  ,  University Paul Sabatier - Toulouse III  , France    
   201-300  ,  University of Montpellier II  , France    
   201-300  ,  Trinity College Dublin  , Ireland    
   201-300  ,  Polytechnic University of Milan  , Italy    
   201-300  ,  Scuola Normale Superiore di Pisa  , Italy    
   201-300  ,  University of Bologna  , Italy    
   201-300  ,  University of Florence  , Italy    
   201-300  ,  University of Turin  , Italy    
   201-300  ,  Delft University of Technology  , Netherlands    
   201-300  ,  University of Maastricht  , Netherlands    
   201-300  ,  Norwegian University of Science and Technology  , Norway    
   201-300  ,  University of Bergen  , Norway    
   201-300  ,  KTH - Royal Institute of Technology  , Sweden    
   201-300  ,  Umea University  , Sweden    
   201-300  ,  Queen Mary - University of London  , UK    
   201-300  ,  University of Aberdeen  , UK    
   201-300  ,  University of Durham  , UK    
   201-300  ,  University of East Anglia  , UK    
   201-300  ,  University of Exeter  , UK    
   201-300  ,  University of Lancaster  , UK    
   201-300  ,  University of Leicester  , UK    
   201-300  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   201-300  ,  University of Reading  , UK    
   201-300  ,  University of St. Andrews  , UK    
   201-300  ,  University of York  , UK    
   201-300  ,  Karlsruhe Institute of Technology  , Germany    
   201-300  ,  RWTH Aachen University  , Germany    
   201-300  ,  University of Lorraine  , France    
   301-400  ,  University of Giessen  , Germany    
   301-400  ,  University of Halle-Wittenberg  , Germany    
   301-400  ,  Technical University of Darmstadt  , Germany    
   301-400  ,  University of Konstanz  , Germany    
   301-400  ,  University of Regensburg  , Germany    
   301-400  ,  University of Ulm  , Germany    
   301-400  ,  Polytechnic University of Valencia  , Spain    
   301-400  ,  University of Valencia  , Spain    
   301-400  ,  University of the Basque Country  , Spain    
   301-400  ,  Autonomous University of Barcelona  , Spain    
   301-400  ,  University of Oulu  , Finland    
   301-400  ,  University of Turku  , Finland    
   301-400  ,  Ecole Polytechnique  , France    
   301-400  ,  Ecole Supérieure de Physique et de Chimie Industrielles  , France    
   301-400  ,  University Bordeaux I - Sciences Technologie  , France    
   301-400  ,  Aristotle University of Thessaloniki  , Greece    
   301-400  ,  University of Athens  , Greece    
   301-400  ,  Eötvös Lorand University  , Hungary    
   301-400  ,  University College Cork  , Ireland    
   301-400  ,  University College Dublin  , Ireland    
   301-400  ,  Bar-Ilan University  , Israel    
   301-400  ,  Ben-Gurion University of the Negev  , Israel    
   301-400  ,  University of Genoa  , Italy    
   301-400  ,  University of Naples Federico II  , Italy    
   301-400  ,  University of Rome - Tor Vergata  , Italy    
   301-400  ,  Eindhoven University of Technology  , Netherlands    
   301-400  ,  University of Twente  , Netherlands    
   301-400  ,  Jagiellonian University  , Poland    
   301-400  ,  University of Warsaw  , Poland    
   301-400  ,  University of Porto  , Portugal    
   301-400  ,  Chalmers University of Technology  , Sweden    
   301-400  ,  Linkoping University  , Sweden    
   301-400  ,  Stockholm School of Economics  , Sweden    
   301-400  ,  Swedish University of Agricultural Sciences  , Sweden    
   301-400  ,  Queen&rsquo;s University Belfast  , UK    
   301-400  ,  University of Bath  , UK    
   301-400  ,  University of Dundee  , UK    
   401-500  ,  Medical University of Graz  , Austria    
   401-500  ,  Medical University of Innsbruck  , Austria    
   401-500  ,  Vienna University of Technology  , Austria    
   401-500  ,  University of Graz  , Austria    
   401-500  ,  Vrije Universiteit Brussel  , Belgium    
   401-500  ,  University of Jena  , Germany    
   401-500  ,  University of Duisburg-Essen  , Germany    
   401-500  ,  Technical University of Braunschweig  , Germany    
   401-500  ,  University of Bayreuth  , Germany    
   401-500  ,  University of Bielefeld  , Germany    
   401-500  ,  University of Bremen  , Germany    
   401-500  ,  University of Hannover  , Germany    
   401-500  ,  University of Granada  , Spain    
   401-500  ,  University of Vigo  , Spain    
   401-500  ,  University of Zaragoza  , Spain    
   401-500  ,  University Pompeu Fabra  , Spain    
   401-500  ,  Mines ParisTech  , France    
   401-500  ,  University of Rennes I  , France    
   401-500  ,  University of Nice-Sophia Antipolis  , France    
   401-500  ,  University Lille I  , France    
   401-500  ,  University of Zagreb  , Croatia    
   401-500  ,  University of Szeged  , Hungary    
   401-500  ,  Catholic University of the Sacred Heart  , Italy    
   401-500  ,  Polytechnic University of Turin  , Italy    
   401-500  ,  University of Bari  , Italy    
   401-500  ,  University of Ferrara  , Italy    
   401-500  ,  University of Milan - Bicocca  , Italy    
   401-500  ,  University of Palermo  , Italy    
   401-500  ,  University of Parma  , Italy    
   401-500  ,  University of Perugia  , Italy    
   401-500  ,  Tilburg University  , Netherlands    
   401-500  ,  University of Tromso  , Norway    
   401-500  ,  Technical University of Lisbon  , Portugal    
   401-500  ,  University of Lisbon  , Portugal    
   401-500  ,  St. Petersburg State University  , Russia    
   401-500  ,  University of Ljubljana  , Slovenia    
   401-500  ,  Istanbul University  , Turkey    
   401-500  ,  London School of Hygiene & Tropical Medicine  , UK    
   401-500  ,  Open University  , UK    
   401-500  ,  University of Essex  , UK    
   401-500  ,  University of Surrey  , UK    
   401-500  ,  Swansea University  , UK    
   401-500  ,  University of Belgrade  , Serbia    
   401-500  ,  University of Jyvaskyla  , Finland    
   401-500  ,  University of Eastern Finland  , Finland    
