# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2015
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   2  ,  Imperial College London  , UK    
   156  ,  Radboud University of Nijmegen  , Netherlands    
   160  ,  University of Lancaster  , UK    
   161  ,  University of Exeter  , UK    
   166  ,  University of Barcelona  , Spain    
   170  ,  Queen&rsquo;s University Belfast  , UK    
   171  ,  VU University Amsterdam  , Netherlands    
   173  ,  Université Libre de Bruxelles  , Belgium    
   173  ,  Autonomous University of Barcelona  , Spain    
   175  ,  Chalmers University of Technology  , Sweden    
   177  ,  University of Bonn  , Germany    
   178  ,  Autonomous University of Madrid  , Spain    
   179  ,  Ecole Normale Supérieure de Lyon  , France    
   179  ,  University of Bath  , UK    
   181  ,  Vrije Universiteit Brussel  , Belgium    
   182  ,  University of Bologna  , Italy    
   182  ,  Stockholm University  , Sweden    
   187  ,  Aalto University  , Finland    
   190  ,  Technion - Israel Institute of Technology  , Israel    
   192  ,  Technical University of Berlin  , Germany    
   192  ,  University of Hamburg  , Germany    
   195  ,  Tel Aviv University  , Israel    
   200  ,  University of Sussex  , UK    
   202  ,  University of Rome - La Sapienza  , Italy    
   202  ,  University of Reading  , UK    
   205  ,  University of Antwerp  , Belgium    
   206  ,  Göteborg University  , Sweden    
   208  ,  University of Turku  , Finland    
   209  ,  University Paris Sud (Paris XI)  , France    
   210  ,  University Denis Diderot (Paris VII)  , France    
   211  ,  University of Leicester  , UK    
   212  ,  Complutense University of Madrid  , Spain    
   212  ,  University of Twente  , Netherlands    
   215  ,  University Joseph Fourier - Grenoble I  , France    
   217  ,  University of Frankfurt am Main  , Germany    
   222  ,  Sciences Po - Paris  , France    
   226  ,  University of Strasbourg  , France    
   227  ,  University Paris-Sorbonne (Paris IV)  , France    
   228  ,  University Panthéon-Sorbonne (Paris I)  , France    
   229  ,  Polytechnic University of Milan  , Italy    
   230  ,  University College Cork  , Ireland    
   230  ,  University of Dundee  , UK    
   233  ,  St. Petersburg State University  , Russia    
   234  ,  Technical University of Dresden  , Germany    
   238  ,  University of Milan  , Italy    
   240  ,  University of East Anglia  , UK    
   244  ,  Charles University Prague  , Czech Republic    
   245  ,  University of Pisa  , Italy    
   246  ,  Vienna University of Technology  , Austria    
   246  ,  Norwegian University of Science and Technology  , Norway    
   246  ,  University of Strathclyde  , UK    
   249  ,  University of Ulm  , Germany    
   249  ,  University of Münster  , Germany    
   254  ,  University of Navarra  , Spain    
   259  ,  University of Oulu  , Finland    
   262  ,  University of Padua  , Italy    
   265  ,  Loughborough University  , UK    
   267  ,  Umea University  , Sweden    
   267  ,  University of Eastern Finland  , Finland    
   269  ,  Technical University of Darmstadt  , Germany    
   272  ,  University of Liège  , Belgium    
   274  ,  University of Stuttgart  , Germany    
   275  ,  Royal Holloway - University of London  , UK    
   278  ,  University René Descartes (Paris V)  , France    
   280  ,  National University of Ireland - Galway  , Ireland    
   283  ,  Linkoping University  , Sweden    
   285  ,  University of Erlangen-Nürnberg  , Germany    
   288  ,  University of Innsbruck  , Austria    
   289  ,  University of Leipzig  , Germany    
   290  ,  Ecole des Ponts ParisTech  , France    
   292  ,  Ben-Gurion University of the Negev  , Israel    
   293  ,  University of Porto  , Portugal    
   298  ,  University Pompeu Fabra  , Spain    
   300  ,  University of Mainz  , Germany    
   305  ,  University of Cologne  , Germany    
   305  ,  University of Rome - Tor Vergata  , Italy    
   308  ,  University of Southern Denmark  , Denmark    
   310  ,  University of Konstanz  , Germany    
   312  ,  New University of Lisbon  , Portugal    
   314  ,  University of Surrey  , UK    
   318  ,  University of Jyvaskyla  , Finland    
   322  ,  Bauman Moscow State Technical University  , Russia    
   328  ,  University of Mannheim  , Germany    
   328  ,  Novosibirsk State University  , Russia    
   331  ,  School of Oriental and African Studies - University of London  , UK    
   335  ,  University of Warsaw  , Poland    
   337  ,  Polytechnic University of Catalonia  , Spain    
   338  ,  Ecole Normale Supérieure de Cachan  , France    
   338  ,  Uit the Arctic University of Norway  , Norway    
   341  ,  University of Würzburg  , Germany    
   341  ,  City University London  , UK    
   341  ,  Aix-Marseille University  , France    
   345  ,  University of Naples Federico II  , Italy    
   348  ,  University of Bremen  , Germany    
   351  ,  University of Coimbra  , Portugal    
   352  ,  University of Florence  , Italy    
   352  ,  Heriot-Watt University  , UK    
   355  ,  University Carlos III de Madrid  , Spain    
   355  ,  Brunel University  , UK    
   362  ,  Tampere University of Technology  , Finland    
   363  ,  Aalborg University  , Denmark    
   363  ,  University of Bordeaux  , France    
   365  ,  Polytechnic University of Turin  , Italy    
   366  ,  Dublin City University  , Ireland    
   367  ,  University Paris-Dauphine (Paris IX)  , France    
   367  ,  Tilburg University  , Netherlands    
   370  ,  University of Essex  , UK    
   371  ,  University of Pavia  , Italy    
   371  ,  Jagiellonian University  , Poland    
   377  ,  Catholic University of the Sacred Heart  , Italy    
   379  ,  University of Tartu  , Estonia    
   379  ,  Oxford Brookes University  , UK    
   385  ,  Technical University of Madrid  , Spain    
   385  ,  University of Tampere  , Finland    
   388  ,  University of Bochum  , Germany    
   390  ,  Aston University  , UK    
   394  ,  University of Turin  , Italy    
   395  ,  University of Regensburg  , Germany    
   396  ,  University of Kiel  , Germany    
   397  ,  University of Jena  , Germany    
   399  ,  Moscow State Institute of International Relations  , Russia    
   399  ,  Bilkent University  , Turkey    
   399  ,  Bogazici University  , Turkey    
   401-410  ,  Institut National des Sciences Appliquées de Lyon  , France    
   401-410  ,  University Claude Bernard - Lyon I  , France    
   401-410  ,  Middle East Technical University  , Turkey    
   411-420  ,  University of Graz  , Austria    
   411-420  ,  Czech Technical University of Prague  , Czech Republic    
   411-420  ,  University of Düsseldorf  , Germany    
   411-420  ,  University of Montpellier II  , France    
   411-420  ,  University of Trento  , Italy    
   411-420  ,  Moscow Institute of Physics and Technology  , Russia    
   421-430  ,  University of St.Gallen  , Switzerland    
   421-430  ,  University of Hannover  , Germany    
   421-430  ,  Polytechnic University of Valencia  , Spain    
   421-430  ,  Taras Shevchenko National University of Kyiv  , Ukraine    
   431-440  ,  Birkbeck - University of London  , UK    
   441-450  ,  Saarland University  , Germany    
   441-450  ,  Abo Akademi University  , Finland    
   441-450  ,  University Paul Sabatier - Toulouse III  , France    
   441-450  ,  National Technical University of Athens  , Greece    
   451-460  ,  University of Crete  , Greece    
   451-460  ,  University of Kent at Canterbury  , UK    
   461-470  ,  University of Granada  , Spain    
   461-470  ,  Aristotle University of Thessaloniki  , Greece    
   461-470  ,  Koc University  , Turkey    
   461-470  ,  Swansea University  , UK    
   471-480  ,  University of Siena  , Italy    
   471-480  ,  Peoples’ Friendship University of Russia  , Russia    
   471-480  ,  Sabanci University  , Turkey    
   471-480  ,  Bangor University  , UK    
   481-490  ,  University of Bayreuth  , Germany    
   481-490  ,  University of Salamanca  , Spain    
   481-490  ,  University Lille I  , France    
   481-490  ,  St Petersburg State Politecnical University  , Russia    
   481-490  ,  National Research Nuclear University  , Russia    
   481-490  ,  V.N. Karazin Kharkiv National University  , Ukraine    
   491-500  ,  Belarusian State University  , Belarus    
   491-500  ,  University of Marburg  , Germany    
   491-500  ,  University of Athens  , Greece    
   491-500  ,  Tomsk State University  , Russia    
   491-500  ,  Technical University of Dortmund  , Germany    
   501-550  ,  University of Duisburg-Essen  , Germany    
   501-550  ,  Technical University of Braunschweig  , Germany    
   501-550  ,  University of Bielefeld  , Germany    
   501-550  ,  University of Seville  , Spain    
   501-550  ,  University of Valencia  , Spain    
   501-550  ,  University of Zaragoza  , Spain    
   501-550  ,  University Panthéon-Assas (Paris II)  , France    
   501-550  ,  University of Montpellier I  , France    
   501-550  ,  University of Nice-Sophia Antipolis  , France    
   501-550  ,  University of Limerick  , Ireland    
   501-550  ,  University of Milan - Bicocca  , Italy    
   501-550  ,  University of Lisbon  , Portugal    
   501-550  ,  Higher School of Economics  , Russia    
   501-550  ,  Tomsk Polytechnic University  , Russia    
   501-550  ,  University of Ljubljana  , Slovenia    
   501-550  ,  Istanbul Technical University  , Turkey    
   501-550  ,  Goldsmiths College - University of London  , UK    
   501-550  ,  Keele University  , UK    
   501-550  ,  Kingston University  , UK    
   501-550  ,  University of Stirling  , UK    
   501-550  ,  Tallinn University of Technology  , Estonia    
   551-600  ,  National Technical University Ukraine (kyiv Polytechnic Institute)  , Ukraine    
   551-600  ,  University of Linz  , Austria    
   551-600  ,  Masaryk University  , Czech Republic    
   551-600  ,  University of Giessen  , Germany    
   551-600  ,  University of Santiago de Compostela  , Spain    
   551-600  ,  University of Rennes I  , France    
   551-600  ,  University of Szeged  , Hungary    
   551-600  ,  Dublin Institute of Technology  , Ireland    
   551-600  ,  University of Genoa  , Italy    
   551-600  ,  University of Perugia  , Italy    
   551-600  ,  Vilnius University  , Lithuania    
   551-600  ,  University of Hull  , UK    
   551-600  ,  University of Ulster  , UK    
   551-600  ,  University of Lorraine  , France    
   551-600  ,  Ural Federal University  , Russia    
   551-600  ,  Kazan Federal University   , Russia    
   601-650  ,  University of Halle-Wittenberg  , Germany    
   601-650  ,  University of Patras  , Greece    
   601-650  ,  University of Zagreb  , Croatia    
   601-650  ,  Eötvös Lorand University  , Hungary    
   601-650  ,  University of Debrecen   , Hungary    
   601-650  ,  National University of Ireland - Maynooth  , Ireland    
   601-650  ,  University of Modena  , Italy    
   601-650  ,  University of Trieste  , Italy    
   601-650  ,  Catholic University of Portugal  , Portugal    
   601-650  ,  Saratov State University  , Russia    
   601-650  ,  Hacettepe University  , Turkey    
   601-650  ,  Istanbul University  , Turkey    
   601-650  ,  University of Bradford  , UK    
   601-650  ,  Aberystwyth University  , UK    
   601-650  ,  Southern Federal University  , Russia    
   651-700  ,  Baku Engineering University  , Azerbaijan    
   651-700  ,  Sofia University  , Bulgaria    
   651-700  ,  Brno University of Technology  , Czech Republic    
   651-700  ,  University of Alcalá de Henares  , Spain    
   651-700  ,  University Lumiére - Lyon II  , France    
   651-700  ,  University of Nantes  , France    
   651-700  ,  Bar-Ilan University  , Israel    
   651-700  ,  University of Brescia  , Italy    
   651-700  ,  Warsaw University of Technology  , Poland    
   651-700  ,  University of Bucharest  , Romania    
   651-700  ,  Sumy State University  , Ukraine    
   651-700  ,  Middlesex University  , UK    
