Student,Faculteit,Uitwisselingsinstelling,Land,Begin jaar,Eind jaar
47,Faculteit Ingenieurswetenschappen,Norwegian University of Science & Techno,Noorwegen,2012,2013
48,Faculteit Economie en Bedrijfswetensch.,Ikonomiko Panepistimio Athinon (Athens U,Griekenland,2012,2013
49,Faculteit Wetenschappen,University of Durham,Ver. Koninkrijk,2012,2013
50,Faculteit Rechtsgeleerdheid,Université Toulouse 1 Capitole,Frankrijk,2012,2013
51,Faculteit Rechtsgeleerdheid,Université de Poitiers,Frankrijk,2012,2013
52,Faculteit Wetenschappen,University of Birmingham,Ver. Koninkrijk,2012,2013
53,Faculteit Economie en Bedrijfswetensch.,Universidad de Navarra,Spanje,2012,2013
54,Faculteit Ingenieurswetenschappen,Institut Polytechnique de Grenoble,Frankrijk,2012,2013
55,Faculteit Economie en Bedrijfswetensch.,Universität Mannheim,Duitsland,2012,2013
56,Faculteit Rechtsgeleerdheid,University of Aberdeen,Ver. Koninkrijk,2012,2013
57,Faculteit Geneeskunde,Université René Descartes,Frankrijk,2012,2013
58,Faculteit Wetenschappen,University of York,Ver. Koninkrijk,2012,2013
59,Faculteit Rechtsgeleerdheid,Universidad de Valencia,Spanje,2012,2013
60,Faculteit Ingenieurswetenschappen,Aalto-Korkeakoulusaatio Aalto University,Finland,2012,2013
61,Faculteit Wetenschappen,Universidad Complutense de Madrid,Spanje,2012,2013
62,Faculteit Rechtsgeleerdheid,Univerza v Ljubljani,Slovenië,2012,2013
63,Faculteit Economie en Bedrijfswetensch.,Universiteit van Amsterdam,Nederland,2012,2013
64,Faculteit Ingenieurswetenschappen,Universidade Técnica de Lisboa,Portugal,2012,2013
65,Faculteit Rechtsgeleerdheid,University of Edinburgh,Ver. Koninkrijk,2012,2013
66,Faculteit Ingenieurswetenschappen,Eidgenössische Technische Hochschule Zür,Zwitserland,2012,2013
67,Faculteit Ingenieurswetenschappen,TU Wien,Oostenrijk,2012,2013
68,Faculteit Ingenieurswetenschappen,Institut Polytechnique de Grenoble,Frankrijk,2012,2013
69,Faculteit Economie en Bedrijfswetensch.,Université Toulouse 1 Capitole,Frankrijk,2012,2013
70,Faculteit Wetenschappen,Universiteit Utrecht,Nederland,2012,2013
71,Faculteit Economie en Bedrijfswetensch.,Universidad de Navarra,Spanje,2012,2013
72,Faculteit Sociale Wetenschappen,Universidad de Sevilla,Spanje,2012,2013
73,Faculteit Wetenschappen,Université de Paris-Sud (Paris XI),Frankrijk,2012,2013
74,Faculteit Economie en Bedrijfswetensch.,AESCRA - EM Lyon Business School,Frankrijk,2012,2013
75,Faculteit Wetenschappen,Universidade Técnica de Lisboa,Portugal,2012,2013
76,Fac. Psychologie en Pedagogische Wet.,Uniwersytet Warszawski,Polen,2012,2013
77,Faculteit Rechtsgeleerdheid,Université Jean Moulin (Lyon 3),Frankrijk,2012,2013
78,Faculteit Economie en Bedrijfswetensch.,S  GOTEBOR90,Zweden,2012,2013
79,Faculteit Rechtsgeleerdheid,Turun Yliopisto,Finland,2012,2013
80,Faculteit Economie en Bedrijfswetensch.,Université de Poitiers,Frankrijk,2012,2013
81,Faculteit Rechtsgeleerdheid,University of Southampton,Ver. Koninkrijk,2012,2013
82,Faculteit Farmaceutische Wetenschappen,Aarhus Universitet,Denemarken,2012,2013
83,Faculteit Ingenieurswetenschappen,Politecnico di Torino,Italië,2012,2013
84,Faculteit Ingenieurswetenschappen,Université de Technologie de Compiègne,Frankrijk,2012,2013
85,Faculteit Economie en Bedrijfswetensch.,Wirtschaftsuniversität Wien,Oostenrijk,2012,2013
86,Faculteit Economie en Bedrijfswetensch.,Norges Handelshøyskole,Noorwegen,2012,2013
87,Faculteit Farmaceutische Wetenschappen,Rijksuniversiteit Groningen,Nederland,2012,2013
88,Faculteit Ingenieurswetenschappen,RWTH Aachen University,Duitsland,2012,2013
89,Faculteit Wetenschappen,Norwegian University of Life Sciences,Noorwegen,2012,2013
90,Faculteit Ingenieurswetenschappen,Universidade Técnica de Lisboa,Portugal,2012,2013
91,Faculteit Economie en Bedrijfswetensch.,Universidade Nova de Lisboa,Portugal,2012,2013
92,Faculteit Rechtsgeleerdheid,Queen Mary and Westfield College (Univer,Ver. Koninkrijk,2012,2013
93,Faculteit Economie en Bedrijfswetensch.,AESCRA - EM Lyon Business School,Frankrijk,2012,2013
94,Faculteit Ingenieurswetenschappen,École Centrale Paris,Frankrijk,2012,2013
95,Fac. Psychologie en Pedagogische Wet.,The University of Warwick,Ver. Koninkrijk,2012,2013
96,Faculteit Farmaceutische Wetenschappen,Universiteit Utrecht,Nederland,2012,2013
97,Faculteit Economie en Bedrijfswetensch.,Handelshojskolen i Arhus,Denemarken,2012,2013
98,Faculteit Letteren,Universidade de Lisboa,Portugal,2012,2013
99,Faculteit Economie en Bedrijfswetensch.,Università degli Studi di Roma 'Tor Verg,Italië,2012,2013
100,Faculteit Economie en Bedrijfswetensch.,Norges Handelshøyskole,Noorwegen,2012,2013
101,Faculteit Economie en Bedrijfswetensch.,Universitat Pompeu Fabra,Spanje,2012,2013
102,Faculteit Ingenieurswetenschappen,EPF Lausanne Office de la mobilité SOC,Zwitserland,2012,2013
103,Faculteit Wetenschappen,Uppsala Universitet,Zweden,2012,2013
104,Fac. Psychologie en Pedagogische Wet.,University of Birmingham,Ver. Koninkrijk,2012,2013
105,Fac. Psychologie en Pedagogische Wet.,Universidad Complutense de Madrid,Spanje,2012,2013
106,Faculteit Economie en Bedrijfswetensch.,Association groupe ESSEC,Frankrijk,2012,2013
107,Faculteit Rechtsgeleerdheid,National University of Ireland - Galway,Ierland,2012,2013
108,Faculteit Economie en Bedrijfswetensch.,Università degli Studi di Torino,Italië,2012,2013
109,Faculteit Ingenieurswetenschappen,Institut Polytechnique de Grenoble,Frankrijk,2012,2013
110,Faculteit Economie en Bedrijfswetensch.,AESCRA - EM Lyon Business School,Frankrijk,2012,2013
111,Faculteit Ingenieurswetenschappen,Technische Universiteit Eindhoven,Nederland,2012,2013
112,Faculteit Geneeskunde,Heinrich-Heine-Universität Düsseldorf,Duitsland,2012,2013
113,Faculteit Economie en Bedrijfswetensch.,Université Montpellier II,Frankrijk,2012,2013
114,Faculteit Economie en Bedrijfswetensch.,Uppsala Universitet,Zweden,2012,2013
115,Faculteit Letteren,Université de Paris-Sorbonne (Paris IV),Frankrijk,2012,2013
116,Faculteit Wetenschappen,Göteborgs Unversitet,Zweden,2012,2013
117,Faculteit Economie en Bedrijfswetensch.,Handelshojskolen i Arhus,Denemarken,2012,2013
118,Faculteit Rechtsgeleerdheid,Université de Rouen Haute-Normandie,Frankrijk,2012,2013
119,Faculteit Ingenieurswetenschappen,Institut National Polytechnique de Toulo,Frankrijk,2012,2013
120,Faculteit Economie en Bedrijfswetensch.,Université de Rennes I,Frankrijk,2012,2013
121,Faculteit Ingenieurswetenschappen,Universitat Autònoma de Barcelona,Spanje,2012,2013
122,Faculteit Rechtsgeleerdheid,University of Aberdeen,Ver. Koninkrijk,2012,2013
123,Faculteit Rechtsgeleerdheid,Université Jean Moulin (Lyon 3),Frankrijk,2012,2013
124,Faculteit Rechtsgeleerdheid,Università degli Studi di Catania,Italië,2012,2013
125,Faculteit Economie en Bedrijfswetensch.,Handelshojskolen i Kobenhavn,Denemarken,2012,2013
126,Faculteit Economie en Bedrijfswetensch.,Università degli Studi di Roma 'Tor Verg,Italië,2012,2013
127,Faculteit Letteren,Università degli Studi di Roma Tre,Italië,2012,2013
128,Faculteit Rechtsgeleerdheid,University of Aberdeen,Ver. Koninkrijk,2012,2013
129,Faculteit Ingenieurswetenschappen,Université Grenoble Alpes,Frankrijk,2012,2013
130,Faculteit Rechtsgeleerdheid,Kobenhavns Universitet,Denemarken,2012,2013
131,Faculteit Economie en Bedrijfswetensch.,Universidade Nova de Lisboa,Portugal,2012,2013
132,Faculteit Economie en Bedrijfswetensch.,Université de Poitiers,Frankrijk,2012,2013
133,Faculteit Wetenschappen,University of Durham,Ver. Koninkrijk,2012,2013
134,Faculteit Farmaceutische Wetenschappen,Università degli Studi d Roma Sapienza,Italië,2012,2013
135,Faculteit Economie en Bedrijfswetensch.,Handelshojskolen i Arhus,Denemarken,2012,2013
136,Faculteit Economie en Bedrijfswetensch.,Universidad de Valencia,Spanje,2012,2013
137,Faculteit Economie en Bedrijfswetensch.,Universitat Pompeu Fabra,Spanje,2012,2013
138,Faculteit Geneeskunde,Technische Universität Dresden - TU Dres,Duitsland,2012,2013
139,Faculteit Ingenieurswetenschappen,Eidgenössische Technische Hochschule Zür,Zwitserland,2012,2013
140,Faculteit Rechtsgeleerdheid,Universität Zürich,Zwitserland,2012,2013
141,Faculteit Rechtsgeleerdheid,Turun Yliopisto,Finland,2012,2013
142,Faculteit Geneeskunde,Université René Descartes,Frankrijk,2012,2013
143,Fac. Psychologie en Pedagogische Wet.,University of Birmingham,Ver. Koninkrijk,2012,2013
144,Faculteit Economie en Bedrijfswetensch.,Universidad del País Vasco,Spanje,2012,2013
145,Faculteit Farmaceutische Wetenschappen,Universiteit Utrecht,Nederland,2012,2013
146,Faculteit Geneeskunde,Université Grenoble Alpes,Frankrijk,2012,2013
147,Faculteit Wetenschappen,Université Pierre et Marie Curie (Paris,Frankrijk,2012,2013
148,Faculteit Geneeskunde,Universitat de Barcelona,Spanje,2012,2013
149,Faculteit Rechtsgeleerdheid,Université Toulouse 1 Capitole,Frankrijk,2012,2013
150,Faculteit Rechtsgeleerdheid,Humboldt-Universität zu Berlin,Duitsland,2012,2013
151,Faculteit Economie en Bedrijfswetensch.,AESCRA - EM Lyon Business School,Frankrijk,2012,2013
152,Faculteit Letteren,Universidad Complutense de Madrid,Spanje,2012,2013
153,Faculteit Economie en Bedrijfswetensch.,Jönköping University,Zweden,2012,2013
154,Faculteit Rechtsgeleerdheid,Université de Rennes I,Frankrijk,2012,2013
155,Fac. Psychologie en Pedagogische Wet.,Georg-August-Universität Göttingen,Duitsland,2012,2013
156,Faculteit Economie en Bedrijfswetensch.,AESCRA - EM Lyon Business School,Frankrijk,2012,2013
157,Faculteit Economie en Bedrijfswetensch.,Università degli Studi di Siena,Italië,2012,2013
158,Faculteit Sociale Wetenschappen,Universidad Europea de Madrid,Spanje,2012,2013
159,Faculteit Economie en Bedrijfswetensch.,AESCRA - EM Lyon Business School,Frankrijk,2012,2013
160,Faculteit Geneeskunde,Université de Genève,Zwitserland,2012,2013
161,Faculteit Economie en Bedrijfswetensch.,Handelshojskolen i Kobenhavn,Denemarken,2012,2013
162,Faculteit Economie en Bedrijfswetensch.,Universität Innsbruck,Oostenrijk,2012,2013
163,Faculteit Ingenieurswetenschappen,Kungliga Tekniska Högskolan,Zweden,2012,2013
164,Faculteit Farmaceutische Wetenschappen,University of Helsinki,Finland,2012,2013
165,Faculteit Farmaceutische Wetenschappen,Universiteit Utrecht,Nederland,2012,2013
166,Fac. Psychologie en Pedagogische Wet.,The University of Warwick,Ver. Koninkrijk,2012,2013
167,Faculteit Economie en Bedrijfswetensch.,Association groupe ESSEC,Frankrijk,2012,2013
168,Faculteit Economie en Bedrijfswetensch.,Universidade Nova de Lisboa,Portugal,2012,2013
169,Faculteit Rechtsgeleerdheid,Queen Mary and Westfield College (Univer,Ver. Koninkrijk,2012,2013
170,Faculteit Ingenieurswetenschappen,University of Cambridge,Ver. Koninkrijk,2012,2013
171,Faculteit Economie en Bedrijfswetensch.,Georg-August-Universität Göttingen,Duitsland,2012,2013
172,Faculteit Economie en Bedrijfswetensch.,MCI Management Center Innsbruck,Oostenrijk,2012,2013
173,Faculteit Economie en Bedrijfswetensch.,Eberhard-Karls-Universität Tübingen,Duitsland,2012,2013
174,Fac. Psychologie en Pedagogische Wet.,Universidad de Valencia,Spanje,2012,2013
175,Faculteit Wetenschappen,Université Panthéon-Sorbonne (Paris I),Frankrijk,2012,2013
176,Faculteit Economie en Bedrijfswetensch.,Georg-August-Universität Göttingen,Duitsland,2012,2013
177,Faculteit Ingenieurswetenschappen,TU Delft,Nederland,2012,2013
178,Faculteit Rechtsgeleerdheid,Universidad de Valencia,Spanje,2012,2013
179,Fac. Psychologie en Pedagogische Wet.,Eötvös Loránd University Budapest,Hongarije,2012,2013
180,Faculteit Rechtsgeleerdheid,Université de Montpellier I,Frankrijk,2012,2013
181,Faculteit Rechtsgeleerdheid,Dublin University, Trinity College Dubli,Ierland,2012,2013
182,Faculteit Rechtsgeleerdheid,Université de Fribourg,Zwitserland,2012,2013
183,Faculteit Rechtsgeleerdheid,University of Southampton,Ver. Koninkrijk,2012,2013
184,Faculteit Rechtsgeleerdheid,Université de Montpellier I,Frankrijk,2012,2013
185,Faculteit Wetenschappen,University College London,Ver. Koninkrijk,2012,2013
186,Faculteit Ingenieurswetenschappen,Institut Polytechnique de Grenoble,Frankrijk,2012,2013
187,Faculteit Ingenieurswetenschappen,TU Graz,Oostenrijk,2012,2013
188,Faculteit Wetenschappen,Chalmers Tekniska Högskola,Zweden,2012,2013
189,Faculteit Farmaceutische Wetenschappen,Université Grenoble Alpes,Frankrijk,2012,2013
190,Faculteit Wetenschappen,Göteborgs Unversitet,Zweden,2012,2013
191,Faculteit Rechtsgeleerdheid,Universitetet i Bergen,Noorwegen,2012,2013
192,Faculteit Letteren,Universität Erfurt,Duitsland,2012,2013
193,Faculteit Ingenieurswetenschappen,Norwegian University of Science & Techno,Noorwegen,2012,2013
194,Faculteit Geneeskunde,Universität Zürich,Zwitserland,2012,2013
195,Faculteit Rechtsgeleerdheid,Université de Montpellier I,Frankrijk,2012,2013
196,Faculteit Geneeskunde,Universidad de Córdoba,Spanje,2012,2013
197,Faculteit Letteren,Universidad Complutense de Madrid,Spanje,2012,2013
198,Faculteit Farmaceutische Wetenschappen,Oulun Yliopisto,Finland,2012,2013
199,Fac. Psychologie en Pedagogische Wet.,Aarhus Universitet,Denemarken,2012,2013
200,Faculteit Wetenschappen,Stockholms Universitet,Zweden,2012,2013
201,Faculteit Theologie en Religiewetensch.,Dublin University, Trinity College Dubli,Ierland,2012,2013
202,Faculteit Geneeskunde,Universidad de Sevilla,Spanje,2012,2013
203,Fac. Psychologie en Pedagogische Wet.,Università degli Studi di Padova,Italië,2012,2013
204,Faculteit Rechtsgeleerdheid,University of Aberdeen,Ver. Koninkrijk,2012,2013
205,Fac. Psychologie en Pedagogische Wet.,Universiteit van Amsterdam,Nederland,2012,2013
206,Faculteit Economie en Bedrijfswetensch.,Ikonomiko Panepistimio Athinon (Athens U,Griekenland,2012,2013
207,Faculteit Geneeskunde,Université de Nantes,Frankrijk,2012,2013
208,Faculteit Ingenieurswetenschappen,TU Delft,Nederland,2012,2013
209,Faculteit Rechtsgeleerdheid,Université Nice Sophia Antipolis,Frankrijk,2012,2013
210,Faculteit Letteren,Universidad Complutense de Madrid,Spanje,2012,2013
211,Faculteit Geneeskunde,Ludwig-Maximilians-Universität München,Duitsland,2012,2013
212,Faculteit Rechtsgeleerdheid,Université René Descartes,Frankrijk,2012,2013
213,Faculteit Sociale Wetenschappen,Institut d'Etudes Politiques de Paris,Frankrijk,2012,2013
214,Faculteit Wetenschappen,University of Southampton,Ver. Koninkrijk,2012,2013
215,Faculteit Farmaceutische Wetenschappen,Aarhus Universitet,Denemarken,2012,2013
216,Faculteit Geneeskunde,Université de Strasbourg,Frankrijk,2012,2013
217,Faculteit Rechtsgeleerdheid,Universidad de Alicante,Spanje,2012,2013
218,Faculteit Ingenieurswetenschappen,Institut Supérieur de l'Aéronautique et,Frankrijk,2012,2013
219,Faculteit Sociale Wetenschappen,Universitat Autònoma de Barcelona,Spanje,2012,2013
220,Faculteit Ingenieurswetenschappen,Universidad Politécnica de Madrid,Spanje,2012,2013
221,Faculteit Farmaceutische Wetenschappen,Université René Descartes,Frankrijk,2012,2013
222,Faculteit Geneeskunde,Universiteit van Amsterdam,Nederland,2012,2013
223,Faculteit Ingenieurswetenschappen,Danmarks Tekniske Universitet,Denemarken,2012,2013
224,Faculteit Rechtsgeleerdheid,Universidad de Alicante,Spanje,2012,2013
225,Faculteit Ingenieurswetenschappen,Kungliga Tekniska Högskolan,Zweden,2012,2013
226,Faculteit Economie en Bedrijfswetensch.,Wirtschaftsuniversität Wien,Oostenrijk,2012,2013
227,Faculteit Letteren,Uniwersytet Warszawski,Polen,2012,2013
228,Faculteit Rechtsgeleerdheid,Université Toulouse 1 Capitole,Frankrijk,2012,2013
229,Faculteit Ingenieurswetenschappen,Imperial College London,Ver. Koninkrijk,2012,2013
230,Faculteit Rechtsgeleerdheid,Université René Descartes,Frankrijk,2012,2013
231,Faculteit Farmaceutische Wetenschappen,Rijksuniversiteit Groningen,Nederland,2012,2013
232,Faculteit Economie en Bedrijfswetensch.,Universität Regensburg,Duitsland,2012,2013
233,Faculteit Ingenieurswetenschappen,Niet toegewezen,Frankrijk,2012,2013
234,Faculteit Letteren,John Paul II Catholic University Lublin,Polen,2012,2013
235,Faculteit Sociale Wetenschappen,Universidad San Jorge,Spanje,2012,2013
236,Faculteit Farmaceutische Wetenschappen,Kobenhavns Universitet,Denemarken,2012,2013
237,Faculteit Letteren,Universität Erfurt,Duitsland,2012,2013
238,Faculteit Geneeskunde,Ludwig-Maximilians-Universität München,Duitsland,2012,2013
239,Faculteit Letteren,Università degli Studi di Urbino Carlo B,Italië,2012,2013
240,Faculteit Ingenieurswetenschappen,Universidade Técnica de Lisboa,Portugal,2012,2013
241,Faculteit Ingenieurswetenschappen,EPF Lausanne Office de la mobilité SOC,Zwitserland,2012,2013
242,Faculteit Ingenieurswetenschappen,Aalborg Universitet,Denemarken,2012,2013
243,Fac. Psychologie en Pedagogische Wet.,Université de Provence (Aix-Marseille I),Frankrijk,2012,2013
244,Faculteit Ingenieurswetenschappen,Technische Universität München,Duitsland,2012,2013
245,Hoger Instituut voor Wijsbegeerte,Heythrop College (University of London),Ver. Koninkrijk,2012,2013
246,Faculteit Ingenieurswetenschappen,EPF Lausanne Office de la mobilité SOC,Zwitserland,2012,2013
247,Faculteit Rechtsgeleerdheid,Université de Rennes I,Frankrijk,2012,2013
248,Faculteit Geneeskunde,Universidad de Sevilla,Spanje,2012,2013
249,Faculteit Rechtsgeleerdheid,Université de Montpellier I,Frankrijk,2012,2013
250,Faculteit Farmaceutische Wetenschappen,Université René Descartes,Frankrijk,2012,2013
251,Faculteit Letteren,Universidad de Sevilla,Spanje,2012,2013
252,Hoger Instituut voor Wijsbegeerte,Università degli Studi di Siena,Italië,2012,2013
253,Faculteit Rechtsgeleerdheid,Queen Mary and Westfield College (Univer,Ver. Koninkrijk,2012,2013
254,Faculteit Letteren,Universidad de Valencia,Spanje,2012,2013
255,Fac. Psychologie en Pedagogische Wet.,Universitetet i Oslo,Noorwegen,2012,2013
256,Faculteit Letteren,Universidad de Granada,Spanje,2012,2013
257,Faculteit Sociale Wetenschappen,Vrije Universiteit Amsterdam,Nederland,2012,2013
258,Faculteit Geneeskunde,Universidad de Valencia,Spanje,2012,2013
259,Faculteit Rechtsgeleerdheid,Università degli Studi di Catania,Italië,2012,2013
260,Faculteit Rechtsgeleerdheid,Università di Bologna,Italië,2012,2013
261,Faculteit Ingenieurswetenschappen,Universidad Politécnica de Madrid,Spanje,2012,2013
262,Faculteit Sociale Wetenschappen,Università degli Studi di Siena,Italië,2012,2013
263,Faculteit Economie en Bedrijfswetensch.,University of Edinburgh,Ver. Koninkrijk,2012,2013
264,Faculteit Rechtsgeleerdheid,Queen Mary and Westfield College (Univer,Ver. Koninkrijk,2012,2013
265,Faculteit Letteren,Université de Toulon et du Var (U.T.V.),Frankrijk,2012,2013
266,Faculteit Ingenieurswetenschappen,Universidad Politécnica de Valencia,Spanje,2012,2013
267,Fac. Psychologie en Pedagogische Wet.,Université de Paris-Nanterre (Paris X),Frankrijk,2012,2013
268,Faculteit Rechtsgeleerdheid,Université Toulouse 1 Capitole,Frankrijk,2012,2013
269,Faculteit Letteren,Université Charles De Gaulle - Lille III,Frankrijk,2012,2013
270,Faculteit Farmaceutische Wetenschappen,Université René Descartes,Frankrijk,2012,2013
271,Faculteit Geneeskunde,Université Pierre et Marie Curie (Paris,Frankrijk,2012,2013
272,Faculteit Rechtsgeleerdheid,Queen Mary and Westfield College (Univer,Ver. Koninkrijk,2012,2013
273,Faculteit Ingenieurswetenschappen,Universidad de Granada,Spanje,2012,2013
274,Faculteit Ingenieurswetenschappen,Technische Universität München,Duitsland,2012,2013
275,Faculteit Sociale Wetenschappen,University of Ulster,Ver. Koninkrijk,2012,2013
276,Faculteit Geneeskunde,Universität Basel,Zwitserland,2012,2013
277,Faculteit Rechtsgeleerdheid,Université Panthéon-Sorbonne (Paris I),Frankrijk,2012,2013
278,Faculteit Letteren,Universidad Complutense de Madrid,Spanje,2012,2013
279,Faculteit Rechtsgeleerdheid,University of Durham,Ver. Koninkrijk,2012,2013
280,Faculteit Wetenschappen,Stockholms Universitet,Zweden,2012,2013
281,Faculteit Farmaceutische Wetenschappen,Università degli Studi di Padova,Italië,2012,2013
282,Faculteit Letteren,Université Charles De Gaulle - Lille III,Frankrijk,2012,2013
283,Faculteit Rechtsgeleerdheid,Université de Strasbourg,Frankrijk,2012,2013
284,Faculteit Rechtsgeleerdheid,Kobenhavns Universitet,Denemarken,2012,2013
285,Faculteit Ingenieurswetenschappen,EPF Lausanne Office de la mobilité SOC,Zwitserland,2012,2013
286,Faculteit Farmaceutische Wetenschappen,The School of Pharmacy (University of Lo,Ver. Koninkrijk,2012,2013
287,Faculteit Letteren,Universidad de Valencia,Spanje,2012,2013
288,Faculteit Letteren,Universidad de Zaragoza,Spanje,2012,2013
289,Fac. Psychologie en Pedagogische Wet.,Université de Provence (Aix-Marseille I),Frankrijk,2012,2013
290,Faculteit Geneeskunde,Albert-Ludwigs-Universität Freiburg,Duitsland,2012,2013
291,Faculteit Rechtsgeleerdheid,Université Nice Sophia Antipolis,Frankrijk,2012,2013
292,Faculteit Ingenieurswetenschappen,EPF Lausanne Office de la mobilité SOC,Zwitserland,2012,2013
293,Faculteit Rechtsgeleerdheid,Queen Mary and Westfield College (Univer,Ver. Koninkrijk,2012,2013
294,Faculteit Geneeskunde,Université Catholique de Lille,Frankrijk,2012,2013
295,Faculteit Ingenieurswetenschappen,Chalmers Tekniska Högskola,Zweden,2012,2013
296,Faculteit Ingenieurswetenschappen,Eidgenössische Technische Hochschule Zür,Zwitserland,2012,2013
297,Faculteit Geneeskunde,Université de Nantes,Frankrijk,2012,2013
298,Faculteit Ingenieurswetenschappen,Politecnico Milano,Italië,2012,2013
299,Faculteit Rechtsgeleerdheid,Université de Montpellier I,Frankrijk,2012,2013
300,Faculteit Theologie en Religiewetensch.,PONTIFICAL UNIVERSITY, ST. PATRICK'S COL,Ierland,2012,2013
301,Faculteit Geneeskunde,Lunds Universitet,Zweden,2012,2013
302,Faculteit Ingenieurswetenschappen,Imperial College London,Ver. Koninkrijk,2012,2013
303,Faculteit Farmaceutische Wetenschappen,The School of Pharmacy (University of Lo,Ver. Koninkrijk,2012,2013
304,Faculteit Sociale Wetenschappen,Università degli Studi di Siena,Italië,2012,2013
305,Faculteit Ingenieurswetenschappen,Norwegian University of Science & Techno,Noorwegen,2012,2013
306,Faculteit Rechtsgeleerdheid,Univerzita Karlova (Charles University),Tsjechië,2012,2013
307,Faculteit Ingenieurswetenschappen,Universidad Politécnica de Valencia,Spanje,2012,2013
308,Faculteit Letteren,Universität Wien,Oostenrijk,2012,2013
309,Faculteit Geneeskunde,Université de Bordeaux,Frankrijk,2012,2013
310,Faculteit Letteren,Universidad de Zaragoza,Spanje,2012,2013
311,Faculteit Rechtsgeleerdheid,Universidad de Valencia,Spanje,2012,2013
312,Faculteit Geneeskunde,Université de Bordeaux,Frankrijk,2012,2013
313,Faculteit Ingenieurswetenschappen,EPF Lausanne Office de la mobilité SOC,Zwitserland,2012,2013
