# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2012
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   4  ,  University of Oxford  , UK    
   301-350  ,  University of Warsaw  , Poland    
   301-350  ,  University of Aveiro  , Portugal    
   301-350  ,  University of Porto  , Portugal    
   301-350  ,  Linkoping University  , Sweden    
   301-350  ,  Bogazici University  , Turkey    
   301-350  ,  Keele University  , UK    
   301-350  ,  University of Hertfordshire  , UK    
   301-350  ,  University of Hull  , UK    
   301-350  ,  University of Plymouth  , UK    
   301-350  ,  University of Stirling  , UK    
   301-350  ,  University of Surrey  , UK    
   301-350  ,  Aalto University  , Finland    
   301-350  ,  University of Eastern Finland  , Finland    
   351-400  ,  University of Hannover  , Germany    
   351-400  ,  University of Tartu  , Estonia    
   351-400  ,  Polytechnic University of Catalonia  , Spain    
   351-400  ,  Polytechnic University of Valencia  , Spain    
   351-400  ,  University of Zaragoza  , Spain    
   351-400  ,  University of Turku  , Finland    
   351-400  ,  University Paris Nord (Paris XIII)  , France    
   351-400  ,  National University of Ireland - Galway  , Ireland    
   351-400  ,  National University of Ireland - Maynooth  , Ireland    
   351-400  ,  Polytechnic University of Turin  , Italy    
   351-400  ,  University of Bari  , Italy    
   351-400  ,  University of Salento  , Italy    
   351-400  ,  New University of Lisbon  , Portugal    
   351-400  ,  University of Coimbra  , Portugal    
   351-400  ,  St. Petersburg State University  , Russia    
   351-400  ,  Aston University  , UK    
   351-400  ,  Heriot-Watt University  , UK    
   351-400  ,  Liverpool John Moores University  , UK    
   351-400  ,  Loughborough University  , UK    
   351-400  ,  University of Kent at Canterbury  , UK    
   351-400  ,  University of Strathclyde  , UK    
   351-400  ,  Swansea University  , UK    
