# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2013
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   2  ,  University of Oxford  , UK    
   301-350  ,  University College Cork  , Ireland    
   301-350  ,  Polytechnic University of Milan  , Italy    
   301-350  ,  University of Padua  , Italy    
   301-350  ,  University of Pavia  , Italy    
   301-350  ,  University of Pisa  , Italy    
   301-350  ,  University of Rome - La Sapienza  , Italy    
   301-350  ,  University of Tromso  , Norway    
   301-350  ,  Linkoping University  , Sweden    
   301-350  ,  Brunel University  , UK    
   301-350  ,  University of Portsmouth  , UK    
   301-350  ,  University of Eastern Finland  , Finland    
   351-400  ,  University of Liège  , Belgium    
   351-400  ,  University of Duisburg-Essen  , Germany    
   351-400  ,  University of Hannover  , Germany    
   351-400  ,  Aalborg University  , Denmark    
   351-400  ,  University of Tartu  , Estonia    
   351-400  ,  Polytechnic University of Valencia  , Spain    
   351-400  ,  University of Valencia  , Spain    
   351-400  ,  University of Vigo  , Spain    
   351-400  ,  University Paris-Dauphine (Paris IX)  , France    
   351-400  ,  National University of Ireland - Maynooth  , Ireland    
   351-400  ,  University of Ferrara  , Italy    
   351-400  ,  University of Salento  , Italy    
   351-400  ,  University of Modena  , Italy    
   351-400  ,  Jagiellonian University  , Poland    
   351-400  ,  University of Warsaw  , Poland    
   351-400  ,  University of Aveiro  , Portugal    
   351-400  ,  University of Minho  , Portugal    
   351-400  ,  University of Porto  , Portugal    
   351-400  ,  Heriot-Watt University  , UK    
   351-400  ,  Keele University  , UK    
   351-400  ,  Loughborough University  , UK    
   351-400  ,  University of Hertfordshire  , UK    
   351-400  ,  University of Stirling  , UK    
   351-400  ,  University of Strathclyde  , UK    
   351-400  ,  University of Surrey  , UK    
   351-400  ,  University of Jyvaskyla  , Finland    
