# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2017
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   1  ,  University of Oxford  , UK    
   601-800  ,  Bauman Moscow State Technical University  , Russia    
   601-800  ,  University of Ljubljana  , Slovenia    
   601-800  ,  Comenius University in Bratislava  , Slovakia    
   601-800  ,  Hacettepe University  , Turkey    
   601-800  ,  Istanbul University  , Turkey    
   601-800  ,  Izmir Institute of Technology  , Turkey    
   601-800  ,  Middle East Technical University  , Turkey    
   601-800  ,  TOBB Economics and Technology University  , Turkey    
   601-800  ,  Bournemouth University  , UK    
   601-800  ,  Coventry University  , UK    
   601-800  ,  De Montfort University Leicester  , UK    
   601-800  ,  Glasgow Caledonian University  , UK    
   601-800  ,  Kingston University  , UK    
   601-800  ,  London Metropolitan University  , UK    
   601-800  ,  Edinburgh Napier University  , UK    
   601-800  ,  Nottingham Trent University  , UK    
   601-800  ,  Roehampton University of Surrey  , UK    
   601-800  ,  The Manchester Metropolitan University  , UK    
   601-800  ,  University of Bradford  , UK    
   601-800  ,  University of Brighton  , UK    
   601-800  ,  University of Central Lancashire  , UK    
   601-800  ,  University of East London  , UK    
   601-800  ,  University of Greenwich  , UK    
   601-800  ,  University of Huddersfield  , UK    
   601-800  ,  University of Northumbria at Newcastle  , UK    
   601-800  ,  University of Salford  , UK    
   601-800  ,  University of Teesside  , UK    
   601-800  ,  University of Westminster  , UK    
   601-800  ,  University of the West of England - Bristol  , UK    
   601-800  ,  St Petersburg State Politecnical University  , Russia    
   601-800  ,  Tallinn University of Technology  , Estonia    
   601-800  ,  University of Chemistry and Technology - Prague  , Czech Republic    
   601-800  ,  ISCTE-University Institute of Lisbon  , Portugal    
   601-800  ,  Leeds Beckett University  , UK    
   601-800  ,  University of Lincoln (England)  , UK    
   601-800  ,  University of Bedfordshire  , UK    
   601-800  ,  University of the West Scotland  , UK    
   801  ,  Sofia University  , Bulgaria    
   801  ,  Belarusian State University  , Belarus    
   801  ,  Technical University of Liberec  , Czech Republic    
   801  ,  Technical University of Ostrava  , Czech Republic    
   801  ,  Tomas Bata University in Zlin  , Czech Republic    
   801  ,  University of Pardubice  , Czech Republic    
   801  ,  University of West Bohemia  , Czech Republic    
   801  ,  University of Cergy-Pontoise  , France    
   801  ,  University of Zagreb  , Croatia    
   801  ,  University of Debrecen   , Hungary    
   801  ,  Kaunas University of Technology  , Lithuania    
   801  ,  Riga Technical University  , Latvia    
   801  ,  University of Latvia  , Latvia    
   801  ,  Adam Mickiewicz University in Poznan  , Poland    
   801  ,  Nicolaus Copernicus University  , Poland    
   801  ,  University of Lodz  , Poland    
   801  ,  University of Silesia  , Poland    
   801  ,  University of Bucharest  , Romania    
   801  ,  I.M. Sechenov First Moscow State Medical University  , Russia    
   801  ,  Novosibirsk State Technical University  , Russia    
   801  ,  Peoples’ Friendship University of Russia  , Russia    
   801  ,  Samara State Aerospace University  , Russia    
   801  ,  Voronezh State University  , Russia    
   801  ,  Slovak University of Technology  , Slovakia    
   801  ,  Anadolu University  , Turkey    
   801  ,  Ankara University  , Turkey    
   801  ,  Erciyes University  , Turkey    
   801  ,  Gazi University Ankara  , Turkey    
   801  ,  Marmara University  , Turkey    
   801  ,  Yildiz Technical University  , Turkey    
   801  ,  National Technical University of Ukraine  , Ukraine    
   801  ,  Sheffield Hallam University  , UK    
   801  ,  The Robert Gordon University  , UK    
   801  ,  University of Belgrade  , Serbia    
   801  ,  Taras Shevchenko National University of Kyiv  , Ukraine    
   801  ,  Ural Federal University  , Russia    
   801  ,  V.N. Karazin Kharkiv National University  , Ukraine    
   801  ,  Gdañsk University of Technology  , Poland    
   801  ,  Alexandru Ioan Cuza University   , Romania    
   801  ,  National University of Science and Technology MISiS  , Russia    
   801  ,  Southern Federal University  , Russia    
   801  ,  Czech University of Life Sciences Prague  , Czech Republic    
   801  ,  Lobachevsky University  , Russia    
   801  ,  London South Bank University  , UK    
   801  ,  Lviv Polytechnic National University  , Ukraine    
   801  ,  National Research Saratov State University  , Russia    
   801  ,  National Research University of Electronic Technology  , Russia    
   801  ,  Siberian Federal University  , Russia    
   801  ,  Ivane Javakhishvili Tbilisi State University  , Georgia    
