# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2014
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   2  ,  University of Oxford  , UK    
   174  ,  University of East Anglia  , UK    
   176  ,  Université Libre de Bruxelles  , Belgium    
   178  ,  University Denis Diderot (Paris VII)  , France    
   181  ,  University of Bonn  , Germany    
   185  ,  University of Oslo  , Norway    
   188  ,  University of Aberdeen  , UK    
   191  ,  Hebrew University of Jerusalem  , Israel    
   193  ,  Mines ParisTech  , France    
   194  ,  University of Reading  , UK    
   196  ,  University of Dundee  , UK    
   198  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   199  ,  Tel Aviv University  , Israel    
   199  ,  Bogazici University  , Turkey    
   201-225  ,  University of Innsbruck  , Austria    
   201-225  ,  University of Tübingen  , Germany    
   201-225  ,  University of Frankfurt am Main  , Germany    
   201-225  ,  University of Ulm  , Germany    
   201-225  ,  Technion - Israel Institute of Technology  , Israel    
   201-225  ,  University of Trento  , Italy    
   201-225  ,  University of Bergen  , Norway    
   201-225  ,  Göteborg University  , Sweden    
   201-225  ,  Istanbul Technical University  , Turkey    
   201-225  ,  Middle East Technical University  , Turkey    
   201-225  ,  Birkbeck - University of London  , UK    
   201-225  ,  Cardiff University  , UK    
   201-225  ,  St George’s - University of London  , UK    
   201-225  ,  University of Strasbourg  , France    
   226-250  ,  Vienna University of Technology  , Austria    
   226-250  ,  University of Würzburg  , Germany    
   226-250  ,  University of Kiel  , Germany    
   226-250  ,  University of Erlangen-Nürnberg  , Germany    
   226-250  ,  Technical University of Darmstadt  , Germany    
   226-250  ,  University of Konstanz  , Germany    
   226-250  ,  University of Münster  , Germany    
   226-250  ,  Autonomous University of Barcelona  , Spain    
   226-250  ,  University of Barcelona  , Spain    
   226-250  ,  University of Milan - Bicocca  , Italy    
   226-250  ,  University of Trieste  , Italy    
   226-250  ,  University of Turin  , Italy    
   226-250  ,  Tilburg University  , Netherlands    
   226-250  ,  Moscow State University  , Russia    
   226-250  ,  Bilkent University  , Turkey    
   251-275  ,  Medical University of Vienna  , Austria    
   251-275  ,  Vrije Universiteit Brussel  , Belgium    
   251-275  ,  Technical University of Dresden  , Germany    
   251-275  ,  University of Cologne  , Germany    
   251-275  ,  University of Montpellier II  , France    
   251-275  ,  University of Iceland  , Iceland    
   251-275  ,  University of Pavia  , Italy    
   251-275  ,  Norwegian University of Science and Technology  , Norway    
   251-275  ,  Swedish University of Agricultural Sciences  , Sweden    
   251-275  ,  Brunel University  , UK    
   251-275  ,  Queen&rsquo;s University Belfast  , UK    
   251-275  ,  University of Essex  , UK    
   276-300  ,  University of Fribourg  , Switzerland    
   276-300  ,  University of Southern Denmark  , Denmark    
   276-300  ,  University College Cork  , Ireland    
   276-300  ,  Polytechnic University of Milan  , Italy    
   276-300  ,  University of Bologna  , Italy    
   276-300  ,  University of Milan  , Italy    
   276-300  ,  Chalmers University of Technology  , Sweden    
   276-300  ,  Koc University  , Turkey    
   276-300  ,  University of Bath  , UK    
   276-300  ,  University of Plymouth  , UK    
   301-350  ,  University of Liège  , Belgium    
   301-350  ,  University of Bayreuth  , Germany    
   301-350  ,  University of Bielefeld  , Germany    
   301-350  ,  Aalborg University  , Denmark    
   301-350  ,  Autonomous University of Madrid  , Spain    
   301-350  ,  University of Tampere  , Finland    
   301-350  ,  University Claude Bernard - Lyon I  , France    
   301-350  ,  University of Crete  , Greece    
   301-350  ,  National University of Ireland - Galway  , Ireland    
   301-350  ,  University of Salento  , Italy    
   301-350  ,  University of Padua  , Italy    
   301-350  ,  University of Pisa  , Italy    
   301-350  ,  University of Rome - La Sapienza  , Italy    
   301-350  ,  University of Warsaw  , Poland    
   301-350  ,  Linkoping University  , Sweden    
   301-350  ,  Umea University  , Sweden    
   301-350  ,  Heriot-Watt University  , UK    
   301-350  ,  Keele University  , UK    
   301-350  ,  University of Hertfordshire  , UK    
   301-350  ,  Aberystwyth University  , UK    
   301-350  ,  Bangor University  , UK    
   301-350  ,  Aalto University  , Finland    
   301-350  ,  University of Eastern Finland  , Finland    
   351-400  ,  University of Linz  , Austria    
   351-400  ,  University of Graz  , Austria    
   351-400  ,  Charles University Prague  , Czech Republic    
   351-400  ,  University of Duisburg-Essen  , Germany    
   351-400  ,  University of Bochum  , Germany    
   351-400  ,  University of Hannover  , Germany    
   351-400  ,  University of Tartu  , Estonia    
   351-400  ,  Polytechnic University of Valencia  , Spain    
   351-400  ,  University of Navarra  , Spain    
   351-400  ,  University of Valencia  , Spain    
   351-400  ,  University of Vigo  , Spain    
   351-400  ,  University Rovira I Virgili Tarragona  , Spain    
   351-400  ,  National University of Ireland - Maynooth  , Ireland    
   351-400  ,  University of Bari  , Italy    
   351-400  ,  University of Ferrara  , Italy    
   351-400  ,  University of Florence  , Italy    
   351-400  ,  University of Tromso  , Norway    
   351-400  ,  University of Minho  , Portugal    
   351-400  ,  University of Porto  , Portugal    
   351-400  ,  Liverpool John Moores University  , UK    
   351-400  ,  Loughborough University  , UK    
   351-400  ,  University of Portsmouth  , UK    
   351-400  ,  University of Stirling  , UK    
   351-400  ,  University of Surrey  , UK    
   351-400  ,  University of Jyvaskyla  , Finland    
